"customer_id","customer_lifetime_value"
"16446","336942.10"
"14646","280923.02"
"18102","262876.11"
"17450","200593.95"
"14911","154963.61"
"12346","154367.20"
"12415","126103.61"
"14156","121203.77"
"16029","108335.71"
"17511","93999.38"
"15098","79183.50"
"14096","73169.11"
"15749","67532.70"
"16684","67415.04"
"13694","67388.70"
"17949","64270.12"
"15311","61981.31"
"15769","60681.72"
"13089","60202.03"
"15061","54839.54"
"14298","52192.16"
"12931","50649.11"
"14088","50568.13"
"17841","41167.73"
"16013","40894.95"
"13798","37954.83"
"12748","37666.37"
"16422","35450.80"
"15838","33935.40"
"17404","33512.82"
"17389","32367.28"
"14680","30575.88"
"13098","29106.00"
"13408","28716.22"
"13081","28710.28"
"17857","26994.74"
"16333","26626.80"
"13777","26203.87"
"12744","23002.29"
"12753","21834.77"
"14607","21437.90"
"16210","21086.30"
"12536","21058.20"
"12471","20871.78"
"17675","20650.46"
"17381","20278.79"
"14031","19939.08"
"15039","19894.59"
"12901","19015.98"
"12731","18998.41"
"15159","18708.34"
"16839","17830.92"
"12678","17668.66"
"13767","17495.01"
"17428","17435.25"
"13881","17329.52"
"12921","16784.44"
"15189","16648.64"
"17677","16489.39"
"15856","16352.26"
"14051","15743.44"
"15482","15366.00"
"15513","14996.36"
"16133","14872.42"
"15502","14811.72"
"14866","14582.35"
"15498","14203.92"
"16525","14159.33"
"16705","14123.85"
"13113","13976.97"
"12681","13897.49"
"12621","13767.27"
"12540","13491.44"
"12433","13375.87"
"12477","13322.47"
"17735","13110.02"
"13078","12823.60"
"17340","12815.40"
"14258","12689.88"
"14606","12518.95"
"15640","12495.12"
"16000","12393.70"
"12682","12279.82"
"12557","11990.96"
"15125","11939.91"
"12939","11581.80"
"14194","11482.29"
"12757","11464.05"
"12971","11449.56"
"17581","11334.17"
"14895","11257.16"
"17107","11232.48"
"12409","11088.41"
"13319","11026.76"
"17706","10911.61"
"17865","10894.10"
"16779","10787.39"
"13340","10736.48"
"17139","10733.67"
"15251","10642.87"
"14062","10464.85"
"14769","10450.13"
"15615","10439.44"
"16180","10290.88"
"16843","10209.32"
"12709","10148.94"
"12590","9867.14"
"15078","9862.87"
"13199","9830.28"
"13001","9806.87"
"13458","9755.22"
"14733","9720.28"
"12567","9687.62"
"16523","9541.27"
"14367","9321.52"
"14527","9270.14"
"14667","9185.04"
"12451","9137.52"
"13090","9132.25"
"13969","9091.42"
"18092","9070.76"
"13488","9026.01"
"16033","8867.61"
"17017","8814.41"
"12683","8732.05"
"16656","8683.36"
"17306","8661.89"
"17243","8588.35"
"18139","8474.82"
"15358","8458.75"
"16558","8419.94"
"14952","8286.19"
"14056","8242.96"
"13854","8194.02"
"16672","8176.29"
"14796","8158.47"
"14936","8156.62"
"18109","8132.57"
"15290","8082.67"
"12428","8035.72"
"14849","7956.80"
"13093","7923.47"
"17811","7921.84"
"12435","7829.89"
"13629","7792.36"
"15465","7764.22"
"15194","7711.89"
"15044","7705.58"
"12980","7657.74"
"16923","7649.86"
"18172","7633.19"
"12474","7583.41"
"13263","7436.53"
"12583","7375.42"
"16729","7368.97"
"17396","7330.80"
"12539","7284.20"
"13018","7282.65"
"18229","7276.90"
"16745","7204.30"
"16873","7180.93"
"13324","7171.10"
"14961","7082.78"
"13985","7080.73"
"12476","7079.24"
"12454","7056.68"
"12989","6993.71"
"16713","6993.68"
"12766","6989.63"
"16187","6981.64"
"12798","6977.04"
"17416","6948.50"
"12705","6922.34"
"12472","6914.74"
"13027","6912.0"
"16652","6893.68"
"12830","6880.88"
"12626","6852.61"
"13225","6844.64"
"15601","6807.76"
"18055","6793.39"
"15023","6760.01"
"16532","6748.80"
"13576","6731.38"
"15249","6719.56"
"16746","6683.46"
"16353","6675.71"
"18223","6653.85"
"15144","6630.84"
"16182","6617.65"
"15694","6535.20"
"17338","6525.29"
"13102","6511.89"
"12431","6491.01"
"13668","6457.35"
"12359","6437.08"
"15005","6430.20"
"16814","6425.20"
"13871","6416.70"
"13418","6409.42"
"13709","6386.59"
"17315","6367.59"
"14735","6323.69"
"16126","6287.77"
"14057","6282.22"
"12357","6207.67"
"17809","6196.20"
"14060","6145.46"
"17940","6142.90"
"15939","6127.76"
"13534","6127.08"
"13097","6120.32"
"14688","6102.59"
"17509","6098.04"
"12637","6071.55"
"13050","5989.11"
"15382","5983.56"
"14101","5976.79"
"13209","5963.06"
"14944","5957.55"
"14505","5946.37"
"14415","5944.29"
"13316","5895.17"
"12720","5850.18"
"15298","5825.70"
"17716","5806.19"
"16553","5775.07"
"18198","5768.06"
"15218","5756.89"
"16161","5756.26"
"13468","5753.19"
"17686","5739.46"
"13178","5725.47"
"17049","5720.23"
"13004","5698.39"
"14110","5696.65"
"18118","5683.13"
"18225","5653.06"
"16701","5646.33"
"14049","5621.29"
"17757","5609.99"
"12839","5599.22"
"12481","5585.28"
"16767","5575.56"
"15805","5564.49"
"16609","5535.96"
"17850","5478.24"
"16265","5470.85"
"16985","5466.62"
"15032","5454.10"
"16191","5447.72"
"14146","5432.43"
"17719","5424.28"
"12755","5420.70"
"12490","5417.93"
"16303","5415.43"
"13269","5373.59"
"17061","5348.33"
"14562","5336.92"
"13941","5313.51"
"17730","5308.13"
"15150","5301.83"
"12362","5297.88"
"13802","5292.57"
"13599","5272.99"
"18226","5264.00"
"15046","5240.18"
"13680","5239.23"
"13756","5233.92"
"15299","5226.93"
"16258","5203.51"
"15727","5159.06"
"13069","5149.74"
"17858","5140.66"
"15514","5139.99"
"15903","5127.18"
"16700","5113.10"
"17602","5106.62"
"15301","5092.18"
"14299","5075.89"
"13139","5074.09"
"14329","5061.34"
"12432","5059.32"
"14755","5055.18"
"17426","5052.26"
"14426","5044.44"
"15719","5031.72"
"15786","5017.00"
"12700","5011.99"
"12437","5006.16"
"17652","4998.31"
"12444","4985.56"
"14709","4930.94"
"14292","4924.53"
"15547","4910.60"
"12664","4899.88"
"17133","4892.24"
"15187","4884.28"
"12688","4873.81"
"14180","4856.27"
"15555","4841.83"
"15738","4836.07"
"13013","4834.89"
"15152","4807.14"
"15093","4783.90"
"12955","4780.06"
"14534","4769.00"
"17365","4767.36"
"16722","4750.41"
"15291","4740.09"
"17690","4736.30"
"14191","4709.51"
"12714","4708.86"
"14189","4703.85"
"14390","4702.92"
"14135","4690.31"
"14286","4661.69"
"17567","4650.40"
"14159","4645.06"
"13267","4638.54"
"17613","4594.33"
"14004","4582.64"
"17975","4578.46"
"12484","4573.77"
"17068","4572.94"
"15804","4564.23"
"16931","4554.87"
"12712","4550.63"
"16984","4548.45"
"13505","4504.38"
"17364","4488.13"
"12524","4485.72"
"15874","4481.09"
"12627","4478.53"
"14277","4447.20"
"16626","4446.55"
"15955","4442.71"
"14800","4435.19"
"14085","4434.04"
"16717","4423.10"
"12752","4366.78"
"14016","4353.96"
"16945","4345.50"
"18087","4341.32"
"14145","4336.20"
"14525","4326.73"
"18251","4314.72"
"12749","4313.56"
"12347","4310.00"
"12500","4309.37"
"15034","4305.11"
"17937","4301.22"
"17448","4287.63"
"14543","4277.59"
"14422","4263.64"
"17419","4252.17"
"17377","4233.32"
"15570","4204.37"
"15971","4199.85"
"13988","4197.12"
"12747","4196.01"
"15622","4194.59"
"12949","4191.42"
"12569","4184.39"
"13384","4181.58"
"13523","4174.38"
"16670","4169.34"
"16592","4154.08"
"12841","4137.53"
"16401","4135.40"
"16019","4122.24"
"12656","4119.62"
"18041","4119.62"
"17920","4119.50"
"13555","4098.88"
"12779","4094.02"
"14092","4090.72"
"12619","4067.67"
"12449","4067.29"
"14401","4062.98"
"12867","4059.94"
"12957","4056.04"
"13148","4041.90"
"13815","4039.81"
"16549","4034.90"
"16186","4021.94"
"12727","4013.70"
"12378","4008.62"
"17651","4003.33"
"12473","4000.61"
"17611","3997.47"
"14547","3995.55"
"17769","3994.78"
"15416","3994.27"
"15529","3990.05"
"17001","3989.57"
"13183","3957.78"
"13266","3950.85"
"13552","3940.61"
"17593","3939.64"
"12597","3939.31"
"13999","3938.36"
"14739","3905.46"
"14291","3893.20"
"12662","3882.48"
"12669","3880.33"
"18073","3872.90"
"12668","3871.12"
"15195","3861.00"
"16145","3857.00"
"16570","3853.85"
"17091","3852.71"
"13435","3825.29"
"15867","3824.99"
"16327","3820.27"
"17230","3810.15"
"16168","3804.60"
"16655","3789.52"
"12562","3781.74"
"17173","3777.55"
"12647","3775.72"
"15379","3774.69"
"15845","3772.67"
"13520","3760.95"
"13124","3756.33"
"12429","3750.40"
"17819","3748.67"
"16240","3743.79"
"15296","3735.41"
"12553","3732.31"
"13426","3731.94"
"17576","3729.73"
"15505","3724.78"
"12502","3723.87"
"12417","3719.40"
"17238","3719.10"
"14364","3717.35"
"17528","3716.90"
"16253","3702.10"
"14282","3701.44"
"15113","3679.35"
"15581","3675.77"
"15808","3661.47"
"16607","3656.75"
"16904","3653.75"
"13381","3651.81"
"13137","3648.62"
"16440","3640.67"
"13327","3637.97"
"14040","3633.05"
"13082","3631.78"
"15484","3621.61"
"18079","3613.15"
"16712","3611.31"
"13448","3608.39"
"14132","3591.93"
"16242","3584.81"
"17491","3575.82"
"13014","3567.13"
"17203","3560.08"
"16360","3551.25"
"15544","3550.91"
"15676","3547.43"
"16938","3544.93"
"12406","3544.85"
"14503","3543.26"
"12370","3541.94"
"14907","3523.35"
"13993","3523.06"
"17160","3518.03"
"14395","3515.71"
"13953","3515.68"
"17725","3507.03"
"16131","3506.54"
"13334","3502.32"
"16458","3482.74"
"12613","3469.78"
"15974","3454.75"
"15410","3450.84"
"15129","3447.40"
"13536","3444.39"
"14221","3437.75"
"15521","3425.75"
"15632","3423.31"
"13198","3418.39"
"15606","3417.68"
"15981","3408.48"
"17758","3408.20"
"13437","3408.06"
"17183","3407.71"
"17669","3406.72"
"15228","3396.46"
"13047","3395.98"
"14227","3386.21"
"13842","3385.62"
"16818","3381.17"
"12594","3356.22"
"16011","3352.96"
"12643","3344.64"
"13015","3339.64"
"14175","3336.54"
"15764","3314.47"
"16556","3313.79"
"13373","3312.25"
"15861","3311.92"
"15365","3298.19"
"14841","3295.76"
"14702","3293.29"
"14808","3284.40"
"12480","3281.63"
"17723","3276.40"
"15708","3269.77"
"13952","3256.051"
"14388","3253.64"
"17672","3249.72"
"17504","3248.78"
"15443","3238.34"
"17728","3236.34"
"13268","3221.80"
"13880","3219.77"
"12456","3208.19"
"16678","3206.15"
"16107","3204.16"
"14235","3195.86"
"14842","3192.58"
"13868","3192.54"
"13758","3190.55"
"14844","3189.81"
"16156","3189.46"
"17220","3187.55"
"17050","3185.64"
"15065","3180.28"
"16837","3174.23"
"17838","3174.20"
"17231","3171.22"
"16041","3166.40"
"17863","3160.00"
