"customer_id","latest_order_date"
"16692","2011-03-28"
"12377","2011-01-28"
"12802","2011-06-09"
"12754","2011-04-18"
"16030","2011-02-03"
"16217","2011-04-18"
"17912","2011-02-02"
"15139","2011-04-14"
"13008","2011-01-20"
"13819","2011-02-11"
"12426","2011-05-29"
"17855","2010-12-02"
"12414","2011-05-06"
"12902","2011-03-20"
"12872","2011-01-17"
"12639","2011-04-15"
"13893","2011-02-15"
"17325","2011-03-04"
"17889","2011-05-11"
"15236","2011-02-14"
"15940","2011-02-01"
"17334","2011-02-11"
"18233","2011-01-18"
"16586","2011-04-05"
"12793","2011-01-09"
"18010","2011-03-28"
"15397","2011-02-23"
"15333","2011-05-15"
"13121","2011-03-15"
"12791","2010-12-01"
"16795","2010-12-09"
"15464","2011-01-05"
"14339","2011-04-19"
"13718","2011-04-07"
"12489","2011-01-07"
"14647","2011-05-22"
"16402","2011-03-20"
"15733","2011-03-02"
"17551","2010-12-15"
"15070","2010-12-02"
"15543","2011-02-24"
"16022","2011-03-24"
"13011","2010-12-02"
"17443","2011-05-04"
"15705","2011-05-22"
"17431","2011-01-30"
"14066","2011-03-18"
"15832","2011-03-30"
"13898","2011-01-18"
"17955","2011-05-25"
"15266","2011-01-05"
"16781","2010-12-09"
"17343","2010-12-19"
"16520","2011-06-06"
"16142","2011-04-04"
"15891","2011-04-27"
"13295","2010-12-15"
"14059","2011-03-18"
"17128","2011-01-09"
"14762","2011-03-21"
"16222","2011-01-25"
"18113","2010-12-06"
"12736","2011-01-11"
"18071","2011-03-27"
"12690","2011-05-18"
"16063","2011-03-24"
"16976","2011-03-17"
"12857","2011-05-13"
"14586","2011-04-26"
"13368","2011-03-28"
"18141","2010-12-14"
"16403","2011-02-10"
"15171","2011-01-19"
"17102","2011-03-23"
"17708","2011-06-05"
"17217","2011-04-19"
"15225","2011-04-19"
"13863","2011-04-08"
"16424","2011-06-01"
"16756","2011-05-09"
"12834","2011-03-02"
"16614","2011-06-10"
"17829","2011-02-14"
"16116","2011-05-18"
"16517","2011-03-07"
"15143","2011-04-28"
"18202","2011-05-24"
"18256","2010-12-20"
"12547","2011-05-26"
"17789","2011-03-03"
"16567","2011-05-29"
"15460","2010-12-20"
"17547","2010-12-02"
"15897","2011-05-29"
"14699","2011-05-09"
"14165","2011-03-09"
"17226","2011-02-04"
"13809","2011-02-07"
"12509","2011-02-28"
"17486","2011-03-23"
"14760","2011-02-18"
"15230","2011-04-14"
"13391","2011-05-20"
"17893","2011-04-28"
"15032","2011-03-28"
"14962","2011-03-14"
"12943","2011-02-11"
"17859","2011-02-08"
"13059","2011-04-04"
"18231","2011-05-31"
"17923","2011-03-02"
"15528","2011-03-30"
"13807","2010-12-07"
"17874","2011-06-07"
"17697","2011-04-17"
"13762","2011-05-19"
"13952","2011-05-12"
"16766","2011-03-11"
"13659","2011-05-26"
"17174","2011-05-06"
"18074","2010-12-01"
"15918","2011-06-02"
"16034","2011-05-27"
"18095","2011-01-31"
"17026","2011-06-07"
"15049","2011-03-11"
"17574","2011-04-11"
"18120","2011-05-09"
"12797","2010-12-14"
"16752","2010-12-02"
"15648","2011-05-19"
"16947","2011-04-18"
"16097","2011-04-13"
"14371","2011-02-17"
"16725","2011-02-10"
"17291","2011-02-04"
"18108","2011-04-05"
"12734","2010-12-22"
"16967","2011-06-03"
"14935","2011-02-15"
"13328","2011-01-27"
"14747","2011-04-06"
"13221","2011-04-13"
"17508","2011-03-04"
"15292","2011-05-22"
"14888","2011-05-16"
"17582","2011-04-17"
"13494","2011-02-01"
"18056","2011-02-24"
"16499","2010-12-14"
"12999","2011-05-27"
"12447","2011-04-10"
"17472","2011-06-01"
"17925","2010-12-02"
"13358","2011-03-16"
"14603","2011-03-10"
"17976","2010-12-02"
"13958","2010-12-02"
"13976","2011-05-17"
"15749","2011-04-18"
"13101","2011-04-19"
"13885","2011-06-03"
"12873","2011-03-02"
"14693","2011-03-20"
"13512","2011-03-24"
"16392","2011-03-15"
"16250","2011-03-23"
"12373","2011-02-01"
"14627","2011-02-01"
"15314","2011-05-24"
"12514","2011-03-17"
"12945","2011-02-24"
"16084","2011-02-13"
"16230","2011-06-03"
"16078","2011-03-01"
"16980","2011-03-29"
"18227","2011-05-06"
"12956","2011-02-06"
"12790","2011-05-31"
"15415","2011-01-30"
"13369","2010-12-20"
"16065","2010-12-09"
"18050","2010-12-15"
"15732","2011-05-11"
"17715","2011-05-23"
"15363","2011-04-12"
"14532","2011-04-17"
"15554","2011-03-07"
"15424","2011-03-30"
"17881","2011-02-08"
"13060","2011-03-31"
"16823","2011-04-26"
"13682","2011-06-05"
"14620","2011-05-19"
"13072","2011-03-18"
"16010","2011-04-08"
"12976","2011-05-12"
"14896","2011-05-19"
"16471","2011-03-10"
"14619","2011-04-14"
"17880","2010-12-10"
"13837","2011-05-12"
"17906","2011-04-06"
"15445","2011-03-20"
"14497","2011-02-11"
"15083","2011-03-28"
"15882","2011-05-25"
"17946","2011-04-20"
"17990","2011-04-17"
"13800","2011-02-03"
"16721","2011-03-22"
"12831","2011-03-22"
"13932","2011-02-18"
"16718","2010-12-05"
"17597","2011-05-10"
"13294","2011-06-03"
"18191","2011-03-23"
"16315","2011-01-13"
"17171","2011-02-23"
"14373","2010-12-16"
"16754","2010-12-02"
"15087","2011-03-03"
"12891","2011-06-07"
"16757","2011-01-25"
"13711","2011-05-05"
"15332","2010-12-08"
"16113","2011-06-09"
"14142","2010-12-01"
"17678","2011-03-21"
"13135","2011-05-27"
"18032","2011-01-09"
"12686","2010-12-03"
"14479","2011-03-31"
"16339","2011-02-28"
"15923","2010-12-02"
"13948","2010-12-14"
"14670","2011-03-04"
"17643","2010-12-01"
"13485","2011-04-20"
"16449","2011-06-02"
"16812","2010-12-14"
"17455","2011-05-20"
"15221","2010-12-08"
"18220","2011-05-04"
"12868","2011-06-07"
"12792","2011-03-28"
"13703","2011-01-25"
"16244","2011-05-12"
"17438","2011-04-06"
"13357","2011-03-27"
"16583","2010-12-01"
"16598","2011-03-07"
"13859","2011-01-17"
"14241","2011-06-09"
"13370","2010-12-08"
"14304","2011-05-01"
"17970","2011-05-12"
"15388","2011-03-14"
"17406","2011-01-13"
"14873","2011-05-13"
"15973","2011-04-18"
"17492","2011-04-05"
"16494","2011-02-16"
"12897","2011-05-19"
"15042","2011-05-24"
"12503","2011-01-06"
"16148","2011-02-16"
"15808","2011-02-06"
"16917","2011-03-08"
"17062","2011-01-30"
"17604","2011-05-06"
"15437","2011-03-22"
"16457","2011-05-05"
"13672","2011-02-11"
"17051","2011-05-29"
"16955","2011-06-08"
"13341","2011-03-24"
"14450","2011-06-12"
"15442","2011-04-05"
"15789","2010-12-16"
"13887","2011-05-19"
"12585","2011-04-19"
"15135","2011-04-20"
"15922","2010-12-02"
"13581","2011-02-03"
"14082","2010-12-10"
"15346","2011-01-11"
"17972","2011-04-12"
"16893","2010-12-08"
"16714","2011-05-05"
"15899","2010-12-06"
"16697","2011-04-12"
"14679","2010-12-03"
"17646","2011-05-04"
"16926","2010-12-03"
"13506","2011-01-31"
"13216","2011-03-17"
"16117","2011-06-03"
"13185","2011-03-17"
"14090","2011-01-19"
"14542","2011-06-07"
"14589","2010-12-03"
"14041","2011-03-18"
"17525","2010-12-15"
"15350","2010-12-01"
"14453","2011-06-02"
"13497","2011-03-02"
"12982","2011-04-14"
"18009","2011-04-18"
"17968","2010-12-01"
"16109","2011-05-05"
"15775","2011-04-08"
"13737","2011-05-23"
"15395","2011-01-18"
"13751","2011-02-24"
"16252","2010-12-08"
"15098","2011-06-10"
"13740","2011-04-13"
"13508","2011-04-10"
"16623","2011-04-08"
"17117","2011-02-24"
"15090","2011-02-04"
"15668","2011-05-06"
"17890","2011-01-21"
"17307","2010-12-09"
"15970","2011-02-09"
"13686","2011-06-10"
"16625","2011-03-10"
"12707","2011-02-21"
"16997","2011-02-24"
"14625","2011-06-07"
"12888","2011-05-09"
"17152","2011-05-29"
"17194","2011-03-11"
"15047","2011-03-15"
"15262","2011-01-20"
"17142","2011-04-14"
"15257","2011-03-03"
"13561","2011-05-08"
"12515","2010-12-21"
"15165","2010-12-01"
"17245","2011-05-19"
"12770","2011-05-13"
"14705","2011-05-25"
"17504","2011-05-17"
"14012","2011-03-07"
"16832","2011-06-08"
"15695","2011-03-18"
"17770","2011-05-25"
"14368","2011-01-24"
"16849","2011-06-06"
"16587","2011-04-21"
"16202","2010-12-14"
"17987","2011-06-07"
"13044","2011-02-21"
"13052","2011-05-11"
"14729","2010-12-01"
"17165","2011-02-28"
"16061","2011-03-15"
"16659","2011-06-03"
"13841","2011-04-01"
"12559","2011-02-02"
"15517","2011-04-20"
"15703","2011-03-20"
"18212","2011-01-17"
"14213","2010-12-03"
"12665","2011-01-19"
"12622","2011-04-21"
"14920","2011-05-11"
"16351","2011-01-11"
"13151","2011-05-20"
"17862","2011-01-20"
"16483","2011-05-31"
"15503","2010-12-12"
"16135","2011-03-22"
"13570","2011-04-10"
"13161","2011-01-30"
"12580","2011-04-07"
"12346","2011-01-18"
"17535","2011-03-04"
"17654","2011-03-07"
"13693","2011-01-18"
"13226","2011-03-11"
"17978","2010-12-09"
"15408","2011-03-20"
"17691","2010-12-16"
"14549","2011-02-01"
"15147","2011-05-05"
"14199","2011-05-05"
"13132","2011-03-23"
"15347","2010-12-08"
"13731","2011-05-04"
"14068","2011-01-23"
"16105","2011-04-05"
"14247","2011-03-06"
"17456","2010-12-09"
"16965","2011-04-27"
"17639","2011-03-08"
"15167","2011-01-23"
"16163","2011-04-28"
"13786","2010-12-07"
"15881","2011-01-31"
"17138","2011-03-09"
"14570","2011-03-04"
"15894","2011-03-31"
"14622","2011-06-08"
"14431","2011-02-14"
"12881","2011-03-09"
"16838","2011-05-26"
"17820","2011-06-01"
"17718","2011-04-21"
"14119","2010-12-20"
"13600","2011-01-31"
"13284","2011-01-21"
"13270","2010-12-08"
"13572","2011-05-18"
"12386","2011-01-06"
"15174","2011-01-21"
"16552","2011-04-11"
"13922","2010-12-23"
"18106","2011-01-14"
"15222","2011-01-25"
"16858","2010-12-08"
"17499","2011-02-23"
"13551","2011-01-24"
"17120","2011-04-20"
"16162","2011-04-01"
"14981","2011-04-07"
"16377","2011-03-17"
"14697","2011-05-05"
"16431","2011-05-10"
"13033","2010-12-17"
"17362","2011-04-14"
"14850","2011-02-01"
"18269","2010-12-16"
"16275","2011-05-27"
"14046","2011-02-28"
"17239","2011-01-31"
"13133","2011-03-11"
"17995","2011-03-03"
"13684","2011-02-27"
"18185","2011-04-04"
"15063","2011-05-10"
"16405","2011-02-10"
"13747","2010-12-01"
"15448","2011-01-31"
"12625","2011-05-12"
"15316","2011-01-17"
"17234","2011-06-10"
"13900","2011-06-09"
"12666","2010-12-15"
"16850","2011-01-10"
"14311","2011-04-28"
"17187","2011-04-27"
"13973","2011-02-25"
"16297","2011-05-11"
"14423","2011-05-05"
"12441","2010-12-08"
"18004","2010-12-12"
"13874","2010-12-16"
"13108","2010-12-02"
"17140","2011-04-06"
"16963","2011-06-05"
"15092","2011-05-08"
"16096","2011-03-20"
"15670","2011-02-16"
"12551","2010-12-17"
"17367","2011-04-15"
"16282","2011-01-04"
"14985","2011-05-25"
"17230","2011-03-20"
"14828","2011-05-27"
"14048","2011-03-07"
"16769","2011-03-24"
"12738","2010-12-02"
"16617","2011-04-18"
"14689","2011-05-15"
"17176","2011-05-22"
"12672","2011-01-14"
"15057","2011-03-09"
"16387","2011-01-21"
"18176","2010-12-21"
"17392","2011-02-06"
"15235","2011-05-06"
