"customer_id","recency_score","frequency_score","monetary_score","rfm_segment","rfm_score"
"17581",5,5,5,"555",15
"14422",5,4,5,"545",14
"12985",5,3,4,"534",12
"12423",5,5,4,"554",14
"17754",5,4,4,"544",13
"17428",5,5,5,"555",15
"17490",5,5,5,"555",15
"15498",5,5,5,"555",15
"13113",5,5,5,"555",15
"15910",5,5,4,"554",14
"13069",5,5,5,"555",15
"18102",5,5,5,"555",15
"13777",5,5,5,"555",15
"12662",5,5,5,"555",15
"14441",5,5,4,"554",14
"12433",5,5,5,"555",15
"15694",5,5,5,"555",15
"12713",5,2,3,"523",10
"17389",5,5,5,"555",15
"17315",5,5,5,"555",15
"12526",5,3,4,"534",12
"16558",5,5,5,"555",15
"16626",5,5,5,"555",15
"13426",5,5,5,"555",15
"17364",5,5,5,"555",15
"12748",5,5,5,"555",15
"15311",5,5,5,"555",15
"17001",5,5,5,"555",15
"14051",5,5,5,"555",15
"12680",5,4,3,"543",12
"16446",5,3,5,"535",13
"14446",5,4,4,"544",13
"12518",5,4,4,"544",13
"16705",5,5,5,"555",15
"15344",5,4,3,"543",12
"14397",5,5,5,"555",15
"15804",5,5,5,"555",15
"16954",5,5,4,"554",14
"17522",5,4,4,"544",13
"14646",5,5,5,"555",15
"14621",5,4,4,"544",13
"14217",5,5,4,"554",14
"17631",5,3,3,"533",11
"17526",5,5,4,"554",14
"13924",5,5,4,"554",14
"15214",5,5,4,"554",14
"15156",5,3,4,"534",12
"15520",5,2,2,"522",9
"14730",5,5,4,"554",14
"17405",5,4,4,"544",13
"12621",5,5,5,"555",15
"14129",5,4,4,"544",13
"13081",5,5,5,"555",15
"17491",5,5,5,"555",15
"17673",5,4,4,"544",13
"16892",5,4,3,"543",12
"15755",5,5,5,"555",15
"15898",5,4,4,"544",13
"14698",5,4,4,"544",13
"13954",5,3,3,"533",11
"13798",5,5,5,"555",15
"17528",5,5,5,"555",15
"13890",5,5,4,"554",14
"15189",5,5,5,"555",15
"16833",5,4,4,"544",13
"17949",5,5,5,"555",15
"17668",5,2,2,"522",9
"15951",5,3,3,"533",11
"13408",5,5,5,"555",15
"16019",5,5,5,"555",15
"14135",5,5,5,"555",15
"13536",5,5,5,"555",15
"15877",5,3,3,"533",11
"16322",5,2,2,"522",9
"13471",5,4,5,"545",14
"17677",5,5,5,"555",15
"13680",5,4,5,"545",14
"13078",5,5,5,"555",15
"13026",5,5,4,"554",14
"16933",5,4,3,"543",12
"13468",5,5,5,"555",15
"13013",5,5,5,"555",15
"15453",5,5,4,"554",14
"13098",5,5,5,"555",15
"17675",5,5,5,"555",15
"16442",5,3,3,"533",11
"15208",5,4,3,"543",12
"12558",5,3,3,"533",11
"16794",5,5,4,"554",14
"17530",5,5,5,"555",15
"13263",5,5,5,"555",15
"17451",5,5,4,"554",14
"15159",5,5,5,"555",15
"14606",5,5,5,"555",15
"13314",5,4,4,"544",13
"13599",5,5,5,"555",15
"15443",5,5,5,"555",15
"13860",5,4,4,"544",13
"14291",5,5,5,"555",15
"15484",5,4,5,"545",14
"13318",5,3,3,"533",11
"18109",5,5,5,"555",15
"17757",5,5,5,"555",15
"12523",5,5,4,"554",14
