"stock_code","description","total_quantitiy_sold","total_revenue"
"DOT","Dotcom Postage","1708","206248.77"
"22423","Damages","13862","173624.27"
"23843","Paper Craft , Little Birdie","80995","168469.60"
"85123A","Cream Hanging Heart T-Light Holder","41645","104400.27"
"47566","Party Bunting","18287","99403.53"
"85099B","Jumbo Bag Red Retrospot","48375","94134.15"
"23166","Medium Ceramic Top Storage Jar","78033","81700.92"
"POST","Postage","6500","78101.88"
"M","Manual","6990","70087.10"
"23084","Add Stock To Allocate Online Orders","31673","66866.71"
