"stock_code","description","sold_quantity","returned_quantity","cancellation_rate"
"79323P","Pink Cherry Lights","4","2011","50275.00"
"79323B","Black Cherry Lights","8","1679","20987.50"
"84614A","Pink Baroque Flock Candle Holder","2","390","19500.00"
"84613C","Blue New Baroque Flock Candlestick","1","173","17300.00"
"35610A","Pink Christmas Flock Droplet","10","1277","12770.00"
"22351","Dotcomgiftshop Tea Towel","13","1400","10769.23"
"35609A","Pink Feather Christmas Decoration","1","51","5100.00"
"35610C","Thrown Away.","25","1121","4484.00"
"84743C","Damages","1","42","4200.00"
"84613A","Pink New Baroque Flock Candlestick","6","230","3833.33"
