"stock_code","description","stock_code-2","description-2","times_bought_together"
"22386","Jumbo Bag Pink Polkadot","85099B","Jumbo Bag Red Retrospot","825"
"22697","Green Regency Teacup And Saucer","22699","Roses Regency Teacup And Saucer","768"
"21931","Jumbo Storage Bag Suki","85099B","Jumbo Bag Red Retrospot","724"
"22411","Jumbo Shopper Vintage Red Paisley","85099B","Jumbo Bag Red Retrospot","680"
"20725","Lunch Bag Red Retrospot","22383","Lunch Bag Suki  Design","655"
"20725","Lunch Bag Red Retrospot","20727","Lunch Bag  Black Skull.","641"
"22726","Alarm Clock Bakelike Green","22727","Alarm Clock Bakelike Red","640"
"22697","Green Regency Teacup And Saucer","22698","Pink Regency Teacup And Saucer","633"
"20725","Lunch Bag Red Retrospot","22384","Lunch Bag Pink Polkadot","606"
"22698","Pink Regency Teacup And Saucer","22699","Roses Regency Teacup And Saucer","599"
